id,category,severity,status,title,evidence,impact,recommendation,owner,target_date
A-SEC-001,Security,Critical,Open,Role checks missing in store mutations,"src/context/DataContext.tsx:1123; src/context/DataContext.tsx:732; src/lib/businessRules.ts:473",Unauthorized destructive actions can bypass UI constraints,Enforce RBAC guards in all DataContext mutators and reject unauthorized roles,Backend+Frontend,2026-03-01
A-SEC-002,Security,Critical,Open,Sensitive temporary password exposed in logs,"src/services/authService.ts:147",Credential leakage risk in shared environments,Remove secret logs and gate demo auth behind environment flags,Backend,2026-02-24
A-DATA-001,Data & Integrity,Major,Open,Mixed legacy and new workflow statuses,"src/types/index.ts:259; src/lib/businessRules.ts:129; src/lib/businessRules.ts:159",Ambiguous state transitions and inconsistent UX labels,Define canonical status set and migration mapping,Product+Frontend,2026-03-05
A-ARCH-001,Architecture & Code,Major,Open,Monolithic DataContext causes broad rerenders,"src/context/DataContext.tsx:1359",Higher coupling and performance regressions under growth,Split context by domain and add selectors,Frontend,2026-03-10
A-PERF-001,Performance,Major,Open,Heavy localStorage persistence on each slice update,"src/context/DataContext.tsx:416; src/context/DataContext.tsx:450",Main-thread pressure and potential jank on frequent updates,Throttle/batch persistence or move to indexed storage worker,Frontend,2026-03-10
A-UX-001,UX / Ergonomie,Major,Closed,Touch target failures across mobile and tablet (resolved),"docs/md3-multidevice-audit-results-2026-02-20.md; src/features/auth/pages/LoginPage.tsx",Tap precision issues and interaction errors,Normalized interactive hit areas and fixed QA auth routing to produce valid device audits,Frontend,2026-02-20
A-UI-001,UI / Design System,Major,Open,Visual regression baseline fully diverged,"docs/md3-visual-regression-results-2026-02-20.md",Regression risk hidden by unstable baselines,Run visual triage and update baseline only for approved changes,Frontend+QA,2026-02-27
A-PERF-002,Performance,Major,Open,Bundle chunk exceeds warning limit,"docs/audit/audit-evidence-2026-02-20/auto/build.log",Slower initial load especially on low bandwidth,Code-split PDF/XLSX flows and lazy load heavy vendors,Frontend,2026-03-07
A-UI-002,UI / Design System,Moderate,Open,Mojibake in budget modal labels,"src/features/finance/components/AddBudgetModal.tsx:51; src/features/finance/components/AddBudgetModal.tsx:59",Degraded readability and professional quality,Fix UTF-8 strings and run text consistency pass,Frontend,2026-02-23
A-UX-002,UX / Ergonomie,Moderate,Open,Management label inconsistency (Gestion vs Catalogue),"src/hooks/useAppNavigation.ts:19; src/components/layout/AppLayout.tsx:117",Navigation language inconsistency confuses users,Unify naming across header/sidebar/routes,Frontend+Product,2026-02-23
A-SEC-003,Security,Info,Closed,Admin deleting SuperAdmin blocked by business rule,"src/lib/businessRules.ts:567; src/context/DataContext.tsx:964",Control validated in current codebase,Keep regression test for this guard,Frontend+QA,2026-02-21
